0 0.654677 0.293291 0.18792 0.128723 1
0 0.380742 0.788646 0.180496 0.108746 2
0 0.453647 0.873276 0.160139 0.0710331 3
0 0.656738 0.290611 0.188327 0.130529 1
0 0.38006 0.786356 0.179858 0.10909 2
0 0.451667 0.871989 0.161708 0.0713038 3
0 0.658804 0.288084 0.188717 0.132341 1
0 0.377297 0.784461 0.177602 0.108388 2
0 0.449965 0.869327 0.166519 0.0731928 3
0 0.661081 0.286642 0.186757 0.132504 1
0 0.373325 0.784671 0.186898 0.115863 2
0 0.448634 0.869318 0.170287 0.0745906 3
0 0.661358 0.290321 0.172099 0.121839 1
0 0.370273 0.784141 0.18613 0.116705 2
0 0.446399 0.867877 0.172992 0.075725 3
0 0.664613 0.289541 0.174797 0.124398 1
0 0.368222 0.781364 0.183756 0.11647 2
0 0.446443 0.867339 0.176834 0.0776154 3
0 0.668744 0.292428 0.170506 0.121767 1
0 0.367667 0.780666 0.186435 0.119825 2
0 0.446705 0.869796 0.169345 0.0739975 3
0 0.670801 0.294243 0.174672 0.125313 1
0 0.36986 0.778919 0.18137 0.117162 2
0 0.448264 0.871651 0.170592 0.0743039 3
0 0.676912 0.292891 0.178838 0.129454 1
0 0.370956 0.778432 0.179026 0.116321 2
0 0.448476 0.872265 0.16745 0.0724767 3
0 0.681655 0.292451 0.178472 0.130397 1
0 0.370489 0.778562 0.176314 0.115089 2
0 0.447922 0.87439 0.166486 0.0716077 3
0 0.685062 0.292754 0.175818 0.12943 1
0 0.371311 0.779693 0.175943 0.115068 2
0 0.447402 0.874045 0.172832 0.0743911 3
0 0.68763 0.292581 0.179063 0.133274 1
0 0.367593 0.783974 0.184253 0.122272 2
0 0.444834 0.876591 0.171947 0.0738446 3
0 0.688942 0.297933 0.171065 0.127137 1
0 0.365454 0.787173 0.181397 0.121616 2
0 0.443817 0.878305 0.165429 0.0705304 3
0 0.692673 0.299087 0.17413 0.130408 1
0 0.362449 0.787637 0.18092 0.122759 2
0 0.442471 0.879755 0.169501 0.072043 3
0 0.695043 0.299145 0.174692 0.13156 1
0 0.360498 0.786641 0.179792 0.123293 2
0 0.441496 0.881861 0.164879 0.0696519 3
0 0.698949 0.300079 0.173571 0.131595 1
0 0.359784 0.784975 0.173975 0.120073 2
0 0.441095 0.882585 0.165853 0.0695934 3
0 0.703304 0.298949 0.176489 0.135181 1
0 0.360802 0.783489 0.16918 0.116943 2
0 0.440417 0.883459 0.162994 0.0678558 3
0 0.705599 0.297887 0.177768 0.137405 1
0 0.359402 0.781858 0.168772 0.117064 2
0 0.438645 0.883788 0.170349 0.0708026 3
0 0.707334 0.296919 0.176128 0.137269 1
0 0.356393 0.779687 0.16666 0.115795 2
0 0.43755 0.883413 0.170045 0.0702988 3
0 0.708502 0.295915 0.172684 0.13528 1
0 0.354771 0.779323 0.170084 0.11873 2
0 0.435061 0.883529 0.17192 0.0708687 3
0 0.7088 0.298264 0.16446 0.128615 1
0 0.351452 0.778838 0.173913 0.122165 2
0 0.433855 0.883248 0.166778 0.0681283 3
0 0.711511 0.29526 0.167881 0.131975 1
0 0.347077 0.777068 0.17409 0.123573 2
0 0.431004 0.88089 0.164009 0.0663621 3
0 0.714732 0.291216 0.170706 0.134889 1
0 0.346183 0.773486 0.174364 0.124706 2
0 0.428823 0.879241 0.161202 0.0645631 3
0 0.716525 0.290658 0.168912 0.134076 1
0 0.342891 0.770897 0.174833 0.126222 2
0 0.425628 0.876197 0.166741 0.0665013 3
0 0.718894 0.285492 0.173428 0.139141 1
0 0.340274 0.766265 0.169578 0.12299 2
0 0.423963 0.873981 0.165981 0.0657753 3
0 0.721866 0.28283 0.173938 0.141056 1
0 0.339807 0.762023 0.165541 0.120399 2
0 0.421913 0.872352 0.16935 0.0668644 3
0 0.723482 0.280419 0.175146 0.143853 1
0 0.337858 0.758039 0.165542 0.121214 2
0 0.42144 0.870087 0.165534 0.0648987 3
