epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,736.237,0.97673,0.52146,1.02528,0.88461,0.93511,0.95822,0.66041,1.16808,0.57861,1.09323,0.00144554,0.00144554,0.00144554
73,746.507,0.97072,0.52131,1.01533,0.87803,0.94676,0.96898,0.66588,1.15026,0.55137,1.08586,0.00143152,0.00143152,0.00143152
74,756.646,0.98601,0.51586,1.02532,0.90798,0.91939,0.96669,0.67666,1.13674,0.54577,1.07428,0.0014174,0.0014174,0.0014174
75,766.842,0.96169,0.51193,1.01281,0.90658,0.93649,0.96544,0.68158,1.12161,0.54155,1.06148,0.00140318,0.00140318,0.00140318
76,777,0.95989,0.5141,1.01054,0.91544,0.91015,0.96641,0.65769,1.15736,0.55652,1.07046,0.00138886,0.00138886,0.00138886
77,787.22,0.9699,0.51489,1.0114,0.91414,0.92121,0.9683,0.67387,1.16762,0.52961,1.07928,0.00137444,0.00137444,0.00137444
78,797.351,0.97508,0.51178,1.01582,0.90074,0.93012,0.96708,0.66445,1.18553,0.54812,1.08369,0.00135994,0.00135994,0.00135994
79,807.538,0.93431,0.49886,0.99937,0.90652,0.92346,0.96284,0.667,1.16866,0.53676,1.06784,0.00134535,0.00134535,0.00134535
80,817.723,0.95352,0.50789,1.0087,0.90704,0.92539,0.96653,0.66601,1.1492,0.54418,1.06488,0.00133068,0.00133068,0.00133068
81,827.953,0.94737,0.50478,1.0085,0.90582,0.93178,0.96525,0.65742,1.16692,0.55424,1.08547,0.00131593,0.00131593,0.00131593
82,838.143,0.94008,0.50597,1.00623,0.88553,0.93178,0.95727,0.65164,1.17913,0.57974,1.0868,0.0013011,0.0013011,0.0013011
83,848.299,0.94078,0.4986,1.00275,0.90594,0.93677,0.96823,0.6677,1.17472,0.54473,1.07981,0.0012862,0.0012862,0.0012862
84,858.531,0.92512,0.49623,0.9993,0.90854,0.94343,0.97097,0.66727,1.16519,0.54055,1.06835,0.00127123,0.00127123,0.00127123
85,868.614,0.92965,0.49386,0.99487,0.92607,0.91681,0.96889,0.67424,1.16623,0.52583,1.06898,0.0012562,0.0012562,0.0012562
86,878.749,0.93108,0.49808,0.99279,0.92295,0.91679,0.96133,0.64983,1.17567,0.53128,1.075,0.00124111,0.00124111,0.00124111
87,888.756,0.92815,0.49253,0.99756,0.91117,0.93869,0.97198,0.6657,1.16874,0.52049,1.07083,0.00122596,0.00122596,0.00122596
88,898.98,0.91915,0.49413,0.99206,0.91031,0.91189,0.96741,0.65986,1.17884,0.55015,1.08435,0.00121076,0.00121076,0.00121076
89,909.143,0.90936,0.47902,0.98534,0.91578,0.92013,0.96496,0.67733,1.14306,0.5346,1.06368,0.00119551,0.00119551,0.00119551
90,919.514,0.9117,0.48107,0.99044,0.90753,0.9308,0.96422,0.67976,1.1263,0.52904,1.05796,0.00118021,0.00118021,0.00118021
91,929.839,0.90868,0.47897,0.98716,0.90909,0.94343,0.96863,0.67028,1.1718,0.53065,1.07148,0.00116487,0.00116487,0.00116487
92,940.139,0.90944,0.48313,0.99141,0.9134,0.91258,0.96525,0.66885,1.17199,0.53777,1.07793,0.00114949,0.00114949,0.00114949
93,950.397,0.92597,0.47808,0.99119,0.93025,0.90183,0.96619,0.66213,1.17813,0.53151,1.07892,0.00113408,0.00113408,0.00113408
94,960.658,0.92869,0.49027,0.99514,0.90446,0.9294,0.96541,0.65404,1.21116,0.53831,1.08905,0.00111864,0.00111864,0.00111864
95,970.737,0.92837,0.47827,0.99355,0.89906,0.93677,0.96299,0.6662,1.15344,0.54526,1.06172,0.00110317,0.00110317,0.00110317
96,980.888,0.91425,0.4758,0.98619,0.90784,0.92845,0.97127,0.68775,1.14143,0.52647,1.06259,0.00108767,0.00108767,0.00108767
97,991.182,0.91815,0.47431,0.99114,0.92807,0.92308,0.96555,0.66593,1.14594,0.5255,1.06041,0.00107216,0.00107216,0.00107216
98,1001.3,0.89662,0.47466,0.98507,0.90872,0.92761,0.96538,0.67579,1.14061,0.53611,1.06098,0.00105664,0.00105664,0.00105664
99,1011.3,0.88435,0.47051,0.98137,0.91366,0.9401,0.97369,0.68107,1.1551,0.51912,1.06909,0.0010411,0.0010411,0.0010411
100,1021.37,0.89191,0.46406,0.97876,0.9095,0.91348,0.9624,0.66527,1.17877,0.5346,1.09968,0.00102555,0.00102555,0.00102555
101,1031.41,0.89602,0.4638,0.98411,0.92472,0.91974,0.9682,0.66975,1.1741,0.52994,1.07719,0.00101,0.00101,0.00101
102,1041.22,0.88594,0.4599,0.97763,0.90915,0.92346,0.96485,0.6716,1.13608,0.53412,1.06175,0.00099445,0.00099445,0.00099445
103,1051.19,0.87808,0.4623,0.97665,0.91947,0.93092,0.95666,0.66585,1.1641,0.55309,1.08555,0.000978903,0.000978903,0.000978903
104,1061.17,0.88328,0.46247,0.98036,0.91418,0.92161,0.96665,0.671,1.14431,0.53198,1.07773,0.000963365,0.000963365,0.000963365
105,1071.39,0.87133,0.461,0.97688,0.92292,0.93344,0.97396,0.67408,1.15431,0.53922,1.0804,0.000947837,0.000947837,0.000947837
106,1081.28,0.87328,0.45921,0.9713,0.91647,0.93102,0.96896,0.6791,1.15761,0.5396,1.07894,0.000932325,0.000932325,0.000932325
107,1091.43,0.87808,0.45518,0.97821,0.90538,0.94343,0.96841,0.6893,1.14584,0.52388,1.06269,0.000916833,0.000916833,0.000916833
108,1101.61,0.87786,0.45516,0.97464,0.90972,0.92214,0.96733,0.67326,1.14607,0.54028,1.06576,0.000901363,0.000901363,0.000901363
109,1111.87,0.87397,0.4471,0.97313,0.92117,0.91681,0.96796,0.66961,1.1549,0.53734,1.07442,0.00088592,0.00088592,0.00088592
110,1122.03,0.8687,0.45083,0.97424,0.91423,0.93012,0.96904,0.67346,1.14664,0.52415,1.07052,0.000870508,0.000870508,0.000870508
111,1132.27,0.87962,0.45636,0.97619,0.91572,0.91181,0.96529,0.66707,1.14743,0.52454,1.07019,0.00085513,0.00085513,0.00085513
112,1142.32,0.86111,0.4538,0.97109,0.92511,0.93677,0.97493,0.69874,1.11541,0.50789,1.053,0.00083979,0.00083979,0.00083979
113,1152.53,0.8638,0.44425,0.97142,0.90563,0.92617,0.9669,0.67389,1.14859,0.52029,1.07632,0.000824492,0.000824492,0.000824492
114,1162.6,0.8528,0.43926,0.96332,0.93082,0.92679,0.97002,0.68675,1.14253,0.51773,1.067,0.000809241,0.000809241,0.000809241
115,1172.64,0.85386,0.43572,0.96513,0.93295,0.91348,0.97104,0.68097,1.15095,0.51966,1.07478,0.000794038,0.000794038,0.000794038
116,1182.61,0.84745,0.44146,0.96277,0.92844,0.91514,0.96954,0.68177,1.15842,0.52632,1.07711,0.000778889,0.000778889,0.000778889
117,1192.82,0.84266,0.4388,0.96108,0.89769,0.93441,0.96096,0.68727,1.13846,0.54423,1.06738,0.000763797,0.000763797,0.000763797
118,1202.91,0.83338,0.43162,0.95703,0.91528,0.93477,0.97399,0.68384,1.15117,0.51146,1.07423,0.000748766,0.000748766,0.000748766
119,1212.86,0.84647,0.43749,0.96066,0.92197,0.93511,0.97109,0.69003,1.15096,0.51261,1.06296,0.000733799,0.000733799,0.000733799
120,1222.98,0.84834,0.43543,0.96023,0.93188,0.92346,0.9695,0.68714,1.15619,0.5169,1.06607,0.0007189,0.0007189,0.0007189
121,1232.91,0.83983,0.43149,0.96099,0.92487,0.92512,0.96462,0.69048,1.12964,0.50828,1.06274,0.000704073,0.000704073,0.000704073
122,1242.89,0.83483,0.43439,0.96083,0.90177,0.93677,0.96166,0.68662,1.13842,0.54392,1.06651,0.000689322,0.000689322,0.000689322
123,1252.89,0.83355,0.42525,0.95876,0.9032,0.92679,0.96845,0.69186,1.13272,0.52864,1.06107,0.000674649,0.000674649,0.000674649
124,1263.13,0.84333,0.43534,0.96217,0.92162,0.93911,0.97378,0.68979,1.13102,0.50462,1.06151,0.00066006,0.00066006,0.00066006
125,1273.29,0.8264,0.42505,0.95577,0.92512,0.9251,0.97298,0.67905,1.16905,0.5053,1.07958,0.000645557,0.000645557,0.000645557
126,1283.38,0.81539,0.41895,0.95072,0.92226,0.92775,0.9728,0.68752,1.136,0.5122,1.07075,0.000631143,0.000631143,0.000631143
127,1293.38,0.82262,0.42077,0.95495,0.91323,0.94564,0.97312,0.6918,1.13685,0.50879,1.07441,0.000616824,0.000616824,0.000616824
128,1303.36,0.82907,0.41615,0.95639,0.907,0.93178,0.97136,0.68531,1.14248,0.52307,1.07077,0.000602601,0.000602601,0.000602601
129,1313.26,0.82147,0.41492,0.95544,0.92219,0.92682,0.972,0.68669,1.13788,0.52192,1.07421,0.000588479,0.000588479,0.000588479
130,1323.24,0.81874,0.4147,0.94994,0.89202,0.94846,0.96749,0.68125,1.14885,0.52785,1.08175,0.00057446,0.00057446,0.00057446
131,1333.39,0.80394,0.40946,0.94701,0.92235,0.92894,0.96951,0.6937,1.13012,0.52343,1.06847,0.000560549,0.000560549,0.000560549
132,1343.56,0.81533,0.41127,0.95524,0.91369,0.93356,0.97026,0.70067,1.11492,0.51109,1.06512,0.000546749,0.000546749,0.000546749
133,1353.61,0.81447,0.40839,0.9479,0.92063,0.92644,0.96809,0.68692,1.13364,0.51432,1.06715,0.000533064,0.000533064,0.000533064
134,1363.54,0.80858,0.41037,0.951,0.93257,0.91847,0.96982,0.6976,1.12495,0.5167,1.06954,0.000519496,0.000519496,0.000519496
135,1373.5,0.81065,0.41049,0.95329,0.91133,0.92348,0.96737,0.69348,1.12754,0.52265,1.06751,0.000506049,0.000506049,0.000506049
136,1383.46,0.78983,0.40041,0.94458,0.93025,0.90983,0.96739,0.68711,1.14974,0.51502,1.07938,0.000492726,0.000492726,0.000492726
137,1393.4,0.78862,0.40485,0.94572,0.91357,0.93218,0.97135,0.69713,1.12645,0.50935,1.0672,0.000479531,0.000479531,0.000479531
138,1403.36,0.77883,0.39454,0.9383,0.91204,0.92679,0.96803,0.68645,1.14586,0.5208,1.0816,0.000466467,0.000466467,0.000466467
139,1413.56,0.7861,0.39346,0.94297,0.92123,0.93403,0.96795,0.68651,1.1525,0.51678,1.0831,0.000453537,0.000453537,0.000453537
140,1423.74,0.78411,0.40433,0.9409,0.92905,0.91506,0.96625,0.69512,1.13266,0.51758,1.07259,0.000440745,0.000440745,0.000440745
141,1434,0.77593,0.39769,0.94133,0.93869,0.92346,0.96931,0.69771,1.12913,0.50733,1.06755,0.000428093,0.000428093,0.000428093
142,1443.99,0.78749,0.39489,0.94433,0.91778,0.9286,0.96422,0.69297,1.13275,0.51508,1.07507,0.000415584,0.000415584,0.000415584
143,1454.08,0.78315,0.396,0.93821,0.92001,0.91856,0.96921,0.69742,1.12507,0.51614,1.07148,0.000403222,0.000403222,0.000403222
144,1464.21,0.77066,0.39003,0.93587,0.90869,0.93511,0.96856,0.6973,1.12552,0.51591,1.07259,0.00039101,0.00039101,0.00039101
145,1474.43,0.77783,0.39137,0.93489,0.91294,0.93344,0.96794,0.69599,1.12728,0.50798,1.07374,0.00037895,0.00037895,0.00037895
146,1484.6,0.7709,0.3831,0.93571,0.91242,0.92845,0.96919,0.697,1.12858,0.51323,1.07442,0.000367046,0.000367046,0.000367046
147,1494.98,0.76728,0.38986,0.93327,0.91265,0.93344,0.96954,0.70083,1.12675,0.53054,1.06888,0.000355301,0.000355301,0.000355301
148,1505.13,0.76239,0.38737,0.93226,0.92184,0.91348,0.96889,0.69842,1.12627,0.5115,1.07244,0.000343718,0.000343718,0.000343718
149,1515.24,0.7571,0.37907,0.92593,0.93173,0.91681,0.97215,0.69851,1.13072,0.50712,1.07466,0.000332298,0.000332298,0.000332298
150,1525.43,0.74849,0.3808,0.92479,0.93069,0.92013,0.96975,0.70189,1.13054,0.51903,1.07304,0.000321046,0.000321046,0.000321046
151,1535.53,0.76796,0.38454,0.93533,0.93124,0.92387,0.97087,0.69961,1.12355,0.50652,1.06959,0.000309964,0.000309964,0.000309964
152,1545.75,0.77385,0.38947,0.93727,0.92874,0.91847,0.97237,0.69937,1.12111,0.5076,1.06772,0.000299055,0.000299055,0.000299055
153,1555.79,0.74695,0.38039,0.92566,0.93974,0.91681,0.97312,0.69848,1.13265,0.50908,1.07362,0.000288321,0.000288321,0.000288321
154,1565.9,0.74727,0.37679,0.92696,0.91805,0.93197,0.97253,0.69836,1.13537,0.50536,1.07793,0.000277765,0.000277765,0.000277765
155,1575.91,0.75413,0.38432,0.92736,0.91798,0.94343,0.97407,0.69682,1.12877,0.50738,1.06886,0.00026739,0.00026739,0.00026739
156,1586.12,0.75406,0.37865,0.93116,0.9242,0.93318,0.97268,0.70177,1.12874,0.50177,1.07155,0.000257198,0.000257198,0.000257198
157,1596.29,0.75305,0.37986,0.9261,0.91246,0.9401,0.97209,0.70528,1.117,0.50379,1.05985,0.000247192,0.000247192,0.000247192
158,1606.48,0.7487,0.37505,0.92739,0.91409,0.94676,0.97091,0.70187,1.12953,0.49863,1.06779,0.000237374,0.000237374,0.000237374
159,1616.56,0.75704,0.37934,0.93252,0.91675,0.93677,0.96857,0.69676,1.13117,0.504,1.06901,0.000227747,0.000227747,0.000227747
160,1626.78,0.74318,0.3769,0.92374,0.9204,0.92345,0.96889,0.69496,1.13757,0.51849,1.0739,0.000218312,0.000218312,0.000218312
161,1636.93,0.74866,0.37699,0.92511,0.92342,0.92293,0.96949,0.69566,1.13452,0.51938,1.06893,0.000209073,0.000209073,0.000209073
162,1647.12,0.74195,0.3718,0.9188,0.923,0.92679,0.96954,0.70082,1.12713,0.51169,1.06594,0.000200032,0.000200032,0.000200032
163,1657.17,0.74361,0.37052,0.92512,0.93668,0.91681,0.96916,0.69976,1.13009,0.50727,1.06541,0.00019119,0.00019119,0.00019119
164,1667.28,0.71572,0.36188,0.91509,0.92215,0.92845,0.97067,0.70016,1.13227,0.51342,1.06874,0.000182551,0.000182551,0.000182551
165,1677.34,0.73232,0.36623,0.9233,0.93237,0.9175,0.9716,0.69996,1.1376,0.50962,1.07217,0.000174115,0.000174115,0.000174115
166,1687.35,0.72759,0.36873,0.92177,0.92637,0.92845,0.9705,0.70295,1.12651,0.50624,1.06801,0.000165886,0.000165886,0.000165886
167,1697.28,0.71404,0.35938,0.91329,0.93226,0.92013,0.97057,0.70269,1.12939,0.50902,1.06576,0.000157865,0.000157865,0.000157865
168,1707.13,0.72552,0.36317,0.91814,0.9319,0.91681,0.97204,0.70863,1.13037,0.51165,1.06894,0.000150055,0.000150055,0.000150055
169,1717.13,0.73429,0.3738,0.91915,0.93189,0.92346,0.97167,0.7073,1.12891,0.51253,1.06695,0.000142456,0.000142456,0.000142456
170,1726.97,0.73582,0.36515,0.92393,0.92167,0.93344,0.97187,0.70636,1.12538,0.50323,1.0684,0.000135072,0.000135072,0.000135072
171,1736.95,0.7282,0.36588,0.92335,0.93224,0.92013,0.96997,0.70548,1.12364,0.50728,1.06935,0.000127904,0.000127904,0.000127904
172,1746.8,0.72572,0.363,0.91617,0.92554,0.92346,0.9684,0.70319,1.12523,0.50899,1.07226,0.000120953,0.000120953,0.000120953
173,1756.87,0.7119,0.35597,0.9147,0.9256,0.9218,0.96844,0.70226,1.12538,0.51297,1.07168,0.000114221,0.000114221,0.000114221
174,1766.85,0.71566,0.3624,0.91714,0.93122,0.9218,0.96952,0.70535,1.12054,0.51062,1.06791,0.000107711,0.000107711,0.000107711
175,1776.88,0.71857,0.36361,0.91502,0.93565,0.91933,0.97051,0.70281,1.12478,0.50575,1.06991,0.000101423,0.000101423,0.000101423
176,1786.97,0.7264,0.36507,0.91907,0.93358,0.91681,0.97049,0.70433,1.12227,0.50662,1.0707,9.53593e-05,9.53593e-05,9.53593e-05
177,1796.99,0.72645,0.36502,0.91924,0.93109,0.91681,0.97138,0.70506,1.12598,0.50563,1.0734,8.95213e-05,8.95213e-05,8.95213e-05
178,1807.07,0.71803,0.36427,0.92015,0.92795,0.92013,0.96932,0.70176,1.12769,0.51097,1.07419,8.39104e-05,8.39104e-05,8.39104e-05
179,1817.11,0.71993,0.35999,0.91812,0.92608,0.91847,0.97001,0.7048,1.12264,0.5109,1.07204,7.8528e-05,7.8528e-05,7.8528e-05
180,1827.19,0.70709,0.35407,0.91248,0.89649,0.95114,0.97048,0.70354,1.12614,0.50773,1.07339,7.33755e-05,7.33755e-05,7.33755e-05
